source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[individual]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[forward scatter]	characteristics[side scatter]	characteristics[enrichment marker]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[facs nozzle size]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
300ms_M17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_M17	1	379	327	CD34:APC-Cy7-A=540;CD38:PE-A=136	382	run 37	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132N;AC=PRIDE:0000582	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_O17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_O17	1	381	448	CD34:APC-Cy7-A=758;CD38:PE-A=242	383	run 37	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132C;AC=PRIDE:0000583	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_I17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_I17	1	354	323	CD34:APC-Cy7-A=574;CD38:PE-A=517	333	run 37	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT133N;AC=PRIDE:0000632	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
300ms_H17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_H17	1	364	312	CD34:APC-Cy7-A=560;CD38:PE-A=540	334	run 37	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT133C;AC=PRIDE:0000633	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
300ms_N17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_N17	1	340	256	CD34:APC-Cy7-A=667;CD38:PE-A=221	384	run 37	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT134N;AC=PRIDE:0000643	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_carrier	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	equimolar 1:1:1 mix of blast, progenitor and leukemia stem cell	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	not applicable	not applicable	not applicable	pooled	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT126;AC=PRIDE:0000516	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	equimolar 1:1:1 mix of blast, progenitor and leukemia stem cell
300ms_G19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_G19	1	348	372	CD34:APC-Cy7-A=548;CD38:PE-A=588	335	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT127N;AC=PRIDE:0000519	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
300ms_F19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_F19	1	348	373	CD34:APC-Cy7-A=228;CD38:PE-A=667	652	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128N;AC=PRIDE:0000522	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
300ms_O19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_O19	1	372	353	CD34:APC-Cy7-A=660;CD38:PE-A=257	385	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128C;AC=PRIDE:0000521	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_I19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_I19	1	312	341	CD34:APC-Cy7-A=544;CD38:PE-A=560	336	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129N;AC=PRIDE:0000525	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
300ms_N19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_N19	1	353	346	CD34:APC-Cy7-A=550;CD38:PE-A=227	386	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129C;AC=PRIDE:0000524	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_B19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_B19	1	335	299	CD34:APC-Cy7-A=391;CD38:PE-A=685	653	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130N;AC=PRIDE:0000528	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
300ms_E19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_E19	1	329	262	CD34:APC-Cy7-A=218;CD38:PE-A=405	1938	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130C;AC=PRIDE:0000527	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
300ms_H19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_H19	1	353	333	CD34:APC-Cy7-A=574;CD38:PE-A=667	337	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131N;AC=PRIDE:0000580	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
300ms_K19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_K19	1	376	371	CD34:APC-Cy7-A=601;CD38:PE-A=691	338	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131C;AC=PRIDE:0000581	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
300ms_D19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_D19	1	331	404	CD34:APC-Cy7-A=288;CD38:PE-A=573	654	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132N;AC=PRIDE:0000582	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
300ms_L19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_L19	1	396	409	CD34:APC-Cy7-A=659;CD38:PE-A=296	387	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132C;AC=PRIDE:0000583	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_P19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_P19	1	345	348	CD34:APC-Cy7-A=631;CD38:PE-A=214	388	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT133N;AC=PRIDE:0000632	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_M19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_M19	1	385	469	CD34:APC-Cy7-A=686;CD38:PE-A=221	389	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT133C;AC=PRIDE:0000633	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
300ms_J19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	300ms_J19	1	363	384	CD34:APC-Cy7-A=543;CD38:PE-A=597	339	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT134N;AC=PRIDE:0000643	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	300ms	1	1	20200518_MK_ES_E1200_precol_scMS_300ms_8227_P6_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
