source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[treatment]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
Fresh_SC_14_s1-b3_1_2169	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_14_s1-b3_1_2169	1	210	run 210	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_14_s1-b3_1_2169.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_15_s1-b4_1_2170	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_15_s1-b4_1_2170	1	211	run 211	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_15_s1-b4_1_2170.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_16_s1-b5_1_2171	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_16_s1-b5_1_2171	1	212	run 212	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_16_s1-b5_1_2171.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_17_s1-b6_1_2172	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_17_s1-b6_1_2172	1	213	run 213	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_17_s1-b6_1_2172.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_18_s1-b7_1_2173	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_18_s1-b7_1_2173	1	214	run 214	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_18_s1-b7_1_2173.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_19_s1-b8_1_2174	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_19_s1-b8_1_2174	1	215	run 215	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_19_s1-b8_1_2174.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_1_s1-a1_1_2155	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_1_s1-a1_1_2155	1	216	run 216	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_1_s1-a1_1_2155.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_2_s1-a2_1_2156	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_2_s1-a2_1_2156	1	217	run 217	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_2_s1-a2_1_2156.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_3_s1-a3_1_2157	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_3_s1-a3_1_2157	1	218	run 218	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_3_s1-a3_1_2157.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_4_s1-a4_1_2158	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_4_s1-a4_1_2158	1	219	run 219	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_4_s1-a4_1_2158.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_5_s1-a5_1_2159	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_5_s1-a5_1_2159	1	220	run 220	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_5_s1-a5_1_2159.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_6_s1-a6_1_2160	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_6_s1-a6_1_2160	1	221	run 221	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_6_s1-a6_1_2160.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_7_s1-a7_1_2161	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_7_s1-a7_1_2161	1	222	run 222	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_7_s1-a7_1_2161.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_8_s1-a8_1_2162	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_8_s1-a8_1_2162	1	223	run 223	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_8_s1-a8_1_2162.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fresh_SC_9_s1-a9_1_2163	NT=Homo sapiens;AC=NCBITaxon:9606	NT=breast;AC=UBERON:0000310	NT=breast adenocarcinoma;AC=MONDO:0004988	NT=epithelial cell;AC=CL:0000066	NT=MDA-MB-231;AC=CLO:0007634	CVCL_0062	MDA-MB-231	fresh, no fixation	NT=single cell;AC=PRIDE:0000897	cellenONE	Fresh_SC_9_s1-a9_1_2163	1	224	run 224	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fresh_SC_9_s1-a9_1_2163.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	fresh, no fixation
Fixed_01_SC_10_s1-c10_1_2699	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_10_s1-c10_1_2699	1	225	run 225	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_10_s1-c10_1_2699.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_11_s1-c11_1_2700	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_11_s1-c11_1_2700	1	226	run 226	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_11_s1-c11_1_2700.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_12_s1-c12_1_2701	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_12_s1-c12_1_2701	1	227	run 227	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_12_s1-c12_1_2701.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_13_s1-d2_1_2703	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_13_s1-d2_1_2703	1	228	run 228	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_13_s1-d2_1_2703.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_14_s1-d3_1_2704	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_14_s1-d3_1_2704	1	229	run 229	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_14_s1-d3_1_2704.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_15_s1-d4_1_2705	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_15_s1-d4_1_2705	1	230	run 230	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_15_s1-d4_1_2705.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_16_s1-d5_1_2706	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_16_s1-d5_1_2706	1	231	run 231	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_16_s1-d5_1_2706.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_17_s1-d6_1_2707	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_17_s1-d6_1_2707	1	232	run 232	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_17_s1-d6_1_2707.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_18_s1-d7_1_2708	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_18_s1-d7_1_2708	1	233	run 233	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_18_s1-d7_1_2708.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_19_s1-d8_1_2709	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_19_s1-d8_1_2709	1	234	run 234	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_19_s1-d8_1_2709.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_1_s1-c1_1_2690	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_1_s1-c1_1_2690	1	235	run 235	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_1_s1-c1_1_2690.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
Fixed_01_SC_2_s1-c2_1_2691	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	0.1% paraformaldehyde fixation, 20 min	NT=single cell;AC=PRIDE:0000897	cellenONE	Fixed_01_SC_2_s1-c2_1_2691	1	236	run 236	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	Fixed_01_SC_2_s1-c2_1_2691.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	0.1% paraformaldehyde fixation, 20 min
