source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[dose]
NeanTreat1_I19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_I19	1	not available	not available	19	run 117	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_I_I19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_I20	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_I20	1	not available	not available	20	run 118	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_I_I20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_I21	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_I21	1	not available	not available	21	run 119	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_I_I21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_I22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_I22	1	not available	not available	22	run 120	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_I_I22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_I23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_I23	1	not available	not available	23	run 121	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_I_I23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_I24	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_I24	1	not available	not available	24	run 122	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_I_I24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J1	1	not available	not available	25	run 123	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J2	1	not available	not available	26	run 124	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J3	1	not available	not available	27	run 125	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J4	1	not available	not available	28	run 126	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J5	1	not available	not available	29	run 127	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J6	1	not available	not available	30	run 128	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J7	1	not available	not available	31	run 129	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J8	1	not available	not available	32	run 130	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J9	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J9	1	not available	not available	33	run 131	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J10	1	not available	not available	34	run 132	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J11	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J11	1	not available	not available	35	run 133	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J12	1	not available	not available	36	run 134	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J13	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J13	1	not available	not available	37	run 135	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J14	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J14	1	not available	not available	38	run 136	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J15	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J15	1	not available	not available	39	run 137	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J16	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J16	1	not available	not available	40	run 138	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J17	1	not available	not available	41	run 139	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J18	1	not available	not available	42	run 140	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
NeanTreat1_J19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	NT=lead diacetate;AC=CHEBI:31767	dose level 1	NT=single cell;AC=PRIDE:0000897	not applicable	NeanTreat1_J19	1	not available	not available	43	run 141	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanTreat1	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanTreat1_Row_J_J19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	dose level 1
